"sessionTitle","date","studentCount","presentCount","totalCount","pct"
"Length of Cycle In Linked List","2026-07-17","669","534","669","79.8"
"MCQ Practice","2026-07-17","988","784","1082","72.5"
"MCQ Practice | Largest Subarray Sum","2026-07-17","76","63","76","82.9"
"Merge Two Sorted Linked List","2026-07-17","206","106","206","51.5"
"Reversing a Linked List","2026-07-17","274","179","274","65.3"
"Cycle Detection In Linked List","2026-07-16","556","445","556","80"
"Deletion in Doubly Linked List","2026-07-16","64","48","64","75"
"MCQ Practice","2026-07-16","1185","938","1232","76.1"
"MCQ Practice | Largest Subarray Sum","2026-07-16","60","45","60","75"
"MCQ Practice | Two Sum","2026-07-16","60","49","60","81.7"
"Reversing a Linked List","2026-07-16","130","101","130","77.7"
"Adding Two Numbers","2026-07-15","159","95","159","59.7"
"Circular Linked List","2026-07-15","130","110","130","84.6"
"Cycle Detection In Linked List","2026-07-15","205","182","205","88.8"
"Length of Cycle In Linked List","2026-07-15","120","100","120","83.3"
"MCQ Practice","2026-07-15","1027","815","1027","79.4"
"Reversing a Linked List","2026-07-15","384","296","384","77.1"
"Circular Linked List","2026-07-14","250","206","250","82.4"
"Cycle Detection In Linked List","2026-07-14","120","98","120","81.7"
"Length of Cycle In Linked List","2026-07-14","206","108","206","52.4"
"MCQ Practice","2026-07-14","921","849","1045","81.2"
"MCQ Practice | Largest Subarray Sum","2026-07-14","39","15","39","38.5"
"MCQ Practice | Two Sum","2026-07-14","204","170","204","83.3"
"Reversing a Linked List","2026-07-14","303","263","303","86.8"
"Two Sum","2026-07-14","64","54","64","84.4"
"Circular Linked List","2026-07-13","505","403","505","79.8"
"Deletion in Doubly Linked List","2026-07-13","62","51","62","82.3"
"MCQ Practice","2026-07-13","1135","885","1197","73.9"
"Reversing a Linked List","2026-07-13","256","181","256","70.7"
"Circular Linked List","2026-07-11","374","207","374","55.3"
"Cycle Detection In Linked List","2026-07-11","86","20","86","23.3"
"Deletion in Doubly Linked List","2026-07-11","70","48","70","68.6"
"MCQ Practice","2026-07-11","594","356","594","59.9"
"Circular Linked List","2026-07-09","703","434","703","61.7"
"Cycle Detection In Linked List","2026-07-09","206","97","206","47.1"
"Deletion in Doubly Linked List","2026-07-09","58","50","58","86.2"
"Insertion in Doubly Linked List","2026-07-09","132","60","132","45.5"
"MCQ Practice","2026-07-09","837","584","977","59.8"
"Reversing a Linked List","2026-07-09","120","97","120","80.8"
"Circular Linked List","2026-07-08","678","573","678","84.5"
"Deletion in Doubly Linked List","2026-07-08","224","169","224","75.4"
"Insertion in Doubly Linked List","2026-07-08","120","101","120","84.2"
"MCQ Practice","2026-07-08","921","812","1043","77.9"
"Reversing a Linked List","2026-07-08","206","93","206","45.1"
"Circular Linked List","2026-07-07","256","180","256","70.3"
"Deletion in Doubly Linked List","2026-07-07","576","470","576","81.6"
"Deletion in Linked List","2026-07-07","62","52","62","83.9"
"Insertion in Doubly Linked List","2026-07-07","128","84","128","65.6"
"MCQ Practice","2026-07-07","984","851","1177","72.3"
"MCQ Practice | Two Sum","2026-07-07","60","31","60","51.7"
"Module Quiz-1","2026-07-07","1279","851","1279","66.5"
"Circular Linked List","2026-07-06","111","81","111","73"
"Deletion in Doubly Linked List","2026-07-06","340","261","340","76.8"
"Deletion in Linked List","2026-07-06","134","110","134","82.1"
"Insertion in Doubly Linked List","2026-07-06","212","132","212","62.3"
"Introduction to Doubly Linked List","2026-07-06","132","81","132","61.4"
"MCQ Practice","2026-07-06","905","907","1354","67"
"MCQ Practice | Largest Subarray Sum","2026-07-06","312","205","312","65.7"
"MCQ Practice | Longest Subarray with Sum K","2026-07-06","521","363","521","69.7"
"MCQ Practice | Two Sum","2026-07-06","60","42","60","70"
"Circular Linked List","2026-07-03","167","104","167","62.3"
"Deletion in Doubly Linked List","2026-07-03","367","279","367","76"
"Deletion in Linked List","2026-07-03","196","103","196","52.6"
"Insertion in Doubly Linked List","2026-07-03","416","326","416","78.4"
"Insertion in Linked List","2026-07-03","94","80","94","85.1"
"MCQ Practice","2026-07-03","976","937","1353","69.3"
"Circular Linked List","2026-07-02","47","29","47","61.7"
"Deletion in Doubly Linked List","2026-07-02","60","25","60","41.7"
"Insertion in Doubly Linked List","2026-07-02","247","185","247","74.9"
"Introduction to Doubly Linked List","2026-07-02","152","99","152","65.1"
"MCQ Practice","2026-07-02","1036","1088","1466","74.2"
"MCQ Practice | Largest Subarray Sum","2026-07-02","51","40","51","78.4"
"Circular Linked List","2026-07-01","107","45","107","42.1"
"Deletion in Doubly Linked List","2026-07-01","120","77","120","64.2"
"Insertion in Doubly Linked List","2026-07-01","354","274","414","66.2"
"Introduction to Doubly Linked List","2026-07-01","51","38","51","74.5"
"MCQ Practice","2026-07-01","823","546","934","58.5"
"Deletion in Doubly Linked List","2026-06-29","159","71","159","44.7"
"Deletion in Linked List","2026-06-29","203","153","203","75.4"
"Insertion in Doubly Linked List","2026-06-29","204","154","204","75.5"
"Insertion in Linked List","2026-06-29","190","154","190","81.1"
"Introduction to Doubly Linked List","2026-06-29","476","362","476","76.1"
"MCQ Practice","2026-06-29","966","724","1026","70.6"
"Deletion in Linked List","2026-06-27","488","280","488","57.4"
"Insertion in Doubly Linked List","2026-06-27","60","37","60","61.7"
"Insertion in Linked List","2026-06-27","70","49","70","70"
"Introduction to Doubly Linked List","2026-06-27","315","177","315","56.2"
"MCQ Practice","2026-06-27","223","105","223","47.1"
"Deletion in Doubly Linked List","2026-06-25","47","21","47","44.7"
"Deletion in Linked List","2026-06-25","521","385","521","73.9"
"Insertion in Doubly Linked List","2026-06-25","120","43","120","35.8"
"Insertion in Linked List","2026-06-25","344","259","344","75.3"
"Introduction to Doubly Linked List","2026-06-25","247","169","247","68.4"
"MCQ Practice","2026-06-25","859","605","859","70.4"
"Deletion in Linked List","2026-06-24","635","472","635","74.3"
"Insertion in Doubly Linked List","2026-06-24","47","17","47","36.2"
"Insertion in Linked List","2026-06-24","282","225","282","79.8"
"Introduction to Doubly Linked List","2026-06-24","99","9","99","9.1"
"Introduction to Linked List","2026-06-24","156","118","156","75.6"
"MCQ Practice","2026-06-24","684","415","684","60.7"
"Deletion in Linked List","2026-06-23","307","201","307","65.5"
"Insertion in Linked List","2026-06-23","422","319","422","75.6"
"Introduction to Doubly Linked List","2026-06-23","206","43","206","20.9"
"Introduction to Linked List","2026-06-23","180","120","180","66.7"
"MCQ Practice","2026-06-23","648","504","922","54.7"
"Deletion in Linked List","2026-06-22","206","28","206","13.6"
"Insertion in Linked List","2026-06-22","941","587","941","62.4"
"Introduction to Linked List","2026-06-22","132","61","132","46.2"
