"campus","subject","students","pct"
"Malla Reddy University","Web Programming & UI Design","814","41.6"
"Malla Reddy University","Mathematics for Computer Science","801","43.1"
"Malla Reddy University","Programming for Problem Solving","814","49.3"
"Malla Reddy University","Generative AI Systems","811","53.9"
"Malla Reddy University","Quantitative Aptitude","810","57.3"
"Malla Reddy Vishwavidyapeeth","AI For Finanace","467","8"
"Malla Reddy Vishwavidyapeeth","Digital Electronics","442","27.6"
"Malla Reddy Vishwavidyapeeth","Advanced Communication Skills","467","29"
"Malla Reddy Vishwavidyapeeth","Back End Development","467","32.1"
"Malla Reddy Vishwavidyapeeth","Design and Analysis of Algorithms","467","36.2"
"Malla Reddy Vishwavidyapeeth","Logical Reasoning and Analytical Skills","467","38.9"
"Malla Reddy Vishwavidyapeeth","Probability and Statistics","467","40.2"
"NIAT Chevella","Applied Communicative Skills","224","15"
"NIAT Chevella","Logical Reasoning","224","17.8"
"NIAT Chevella","Back End Development","224","21.5"
"NIAT Chevella","Probability and Statistics","224","21.7"
"NIAT Chevella","Design and Analysis of Algorithms","224","22.1"
"NIAT Chevella","AI For Finanace","224","22.2"
"NRI","Intro To Gen AI","338","0"
"NRI","Quantitive aptitude","338","0"
"NRI","Communicative English","338","0"
"NRI","Computer Programming","338","0"
"NRI","Web Aplication Development","338","0"
"NRI","Intro To NIAT","0","0"
"NRI","Back End Development","245","25.5"
"NRI","AI For Finanace","245","31.7"
"NRI","Probability and Statistics","245","31.8"
"NRI","Design and Analysis of Algorithms","245","32.2"
"NRI","Maths for CSE","338","33"
"NRI","Logical Reasoning and Analytical Skills","245","33.3"
"NRI","Advanced Communication Skills","245","55.1"
"NRI","Quantum Physics","245","72.7"
"NSRIT University","Intro To NIAT","121","0"
"NSRIT University","Maths for CSE","126","14.9"
"NSRIT University","English","126","25.4"
"NSRIT University","Design and Analysis of Algorithms","80","34.4"
"NSRIT University","Advanced Communication Skills","80","36.3"
"NSRIT University","Web Application Development","126","37"
"NSRIT University","GEN AI","126","37.3"
"NSRIT University","Computer Programming","126","39.6"
"NSRIT University","Logical Reasoning and Analytical Skills","80","48.1"
"NSRIT University","Probability and Statistics","80","52.1"
"NSRIT University","Back End Development","80","67"
"NSRIT University","AI For Finanace","80","68.8"
"Noida International University","Advanced Communication Skills","322","27.6"
"Noida International University","Logical Reasoning and Analytical Skills","322","29.4"
"Noida International University","AI For Finanace","322","30.8"
"Noida International University","Design and Analysis of Algorithms","322","36.3"
"Noida International University","Back End Development","322","36.9"
"Noida International University","Probability and Statistics","322","39"
"S-VYASA","Intro To NIAT","0","0"
"S-VYASA","Communicative English Foundation","242","19.8"
"S-VYASA","Logical Reasoning","185","24.7"
"S-VYASA","Applied Commmunication English","185","28.6"
"S-VYASA","Backend Development","185","34.7"
"S-VYASA","Quantitative Aptitude","250","37.3"
"S-VYASA","AI For Finanace","185","40"
"S-VYASA","Fundamental of Probability and Statistics","185","40.3"
"S-VYASA","Mathematics for Computer Science","250","45.8"
"S-VYASA","Core Data Structure and Intermediate Algorithms","185","46.5"
"S-VYASA","Computer Programming","250","56.2"
"S-VYASA","Introduction to Generative AI","249","56.9"
"S-VYASA","Web Application Development","250","59.3"
"SCOPE GLOBAL SKILLS UNIVERSITY","Intro To NIAT","101","0"
"SMR University","Intro To NIAT","208","0"
"SMR University","Quantitative Aptitude","462","28.8"
"SMR University","Computer Programming","462","29"
"SMR University","Web Application Development","462","29.6"
"SMR University","Introduction to Generative AI","462","30.2"
"SMR University","Communicative English Foundation","461","32.4"
"SMR University","Mathematics for Computer Science","458","32.9"
"SPIHER University Bengaluru","Intro To NIAT","418","36.7"
"SPIHER University Chennai","Web Application Development - I","84","22"
"SPIHER University Chennai","Computer Programming","84","26.2"
"SPIHER University Chennai","Mathematics for Computer Science","84","28.9"
"SPIHER University Chennai","Communicative English Foundation","83","33.3"
"SPIHER University Chennai","Quantitative Aptitude","84","39.1"
"SPIHER University Chennai","Introduction to Artificial Intelligence Tools","84","48.7"
"SPIHER University Chennai","Intro To NIAT","80","92.8"
"Sandip University","Intro To NIAT","164","15.7"
"Sandip University","Computer Programming","185","69.1"
"Sandip University","Mathematics for Computer Science","185","69.8"
"Sandip University","Communicative English Foundation","185","71.7"
"Sandip University","Web Application Development","185","77.6"
"Sandip University","Quantitative Aptitude","185","79.4"
"Sandip University","Introduction to Generative AI","185","79.6"
"Sanjay Ghodawat University","Intro To NIAT","374","0"
"Sanjay Ghodawat University","Quantitative Aptitude","455","10.1"
"Sanjay Ghodawat University","Computer Programming","455","11.7"
"Sanjay Ghodawat University","Communicative English Foundation","455","13.9"
"Sanjay Ghodawat University","Introduction to Generative AI","455","15.3"
"Sanjay Ghodawat University","Mathematics for Computer Science","454","15.8"
"Sanjay Ghodawat University","Web Application Development","455","16.4"
"Sanjay Ghodawat University","Advanced Communication Skills","433","30.1"
"Sanjay Ghodawat University","AI For Finanace","432","34"
"Sanjay Ghodawat University","Probability and Statistics","433","35.8"
"Sanjay Ghodawat University","Back End Development","433","37.1"
"Sanjay Ghodawat University","Design and Analysis of Algorithms","433","39.8"
"Sanjay Ghodawat University","Logical Reasoning and Analytical Skills","433","47.1"
"Sri Sri University","Intro To NIAT","55","15.6"
"Sri Sri University","Quantitative Aptitude","56","76.7"
"Sri Sri University","GEN AI","56","77.3"
"Sri Sri University","Web Application Development","56","83.2"
"Sri Sri University","Computer Programming","56","83.5"
"Sri Sri University","Maths for CSE","56","90.3"
"Sri Sri University","English","56","90.7"
"Subharti University","Introduction to Generative AI","88","51.6"
"Subharti University","Computer Programming","88","63.3"
"Subharti University","Mathematics for Computer Science","88","68.5"
"Subharti University","Communicative English Foundation","88","68.8"
"Subharti University","Web Application Development","88","69.7"
"Subharti University","Quantitative Aptitude","88","76.1"
"Subharti University","Intro To NIAT","86","78.2"
"Sushant University","Computer Programming","106","78.8"
"Sushant University","Quantitative Aptitude","107","87"
"Sushant University","Introduction to Generative AI","106","87.1"
"Sushant University","Communicative English Foundation","107","89.4"
"Sushant University","Web Application Development","106","92.4"
"Sushant University","Mathematics for Computer Science","107","93.4"
"Sushant University","Intro To NIAT","101","94.5"
"Takshasila University","Data Structures and its Applications","290","67.5"
"Takshasila University","Applied Emmunicative English","290","71.1"
"Takshasila University","Probability and Statistics","290","72"
"Takshasila University","Logical Reasoning","290","74.5"
"Takshasila University","Introduction to Finance","290","75.5"
"Takshasila University","Backend Development","290","76.8"
"Vivekananda global University","Applied Communicative English","442","37.3"
"Vivekananda global University","Probability and Statistics","442","44.8"
"Vivekananda global University","Back End Development","442","45.4"
"Vivekananda global University","Operating Systems Principles","442","45.8"
"Vivekananda global University","Logical Reasoning","442","45.9"
"Vivekananda global University","Advanced Data Structures","442","47.6"
"Vivekananda global University","Introduction to Generative AI","296","74"
"Vivekananda global University","Mathematics for Computer Science","299","76.2"
"Vivekananda global University","Quantitative Aptitude","298","76.6"
"Vivekananda global University","Web Application Development","298","77.1"
"Vivekananda global University","Computer Programming","298","78"
"Vivekananda global University","Communicative English Foundation","298","78.5"
"Vivekananda global University","Intro To NIAT","283","87.6"
"Yenapoya University","Advanced Communication Skills","206","32.7"
"Yenapoya University","Logical Reasoning and Analytical Skills","205","34"
"Yenapoya University","Back End Development","205","48.8"
"Yenapoya University","Maths for CSE","220","49"
"Yenapoya University","Probability and Statistics","205","50"
"Yenapoya University","English","222","50.6"
"Yenapoya University","Quantitative Aptitude","220","58.4"
"Yenapoya University","AI For Finanace","206","59.7"
"Yenapoya University","Web Application Development","223","60.8"
"Yenapoya University","Computer Programming","222","63"
"Yenapoya University","GEN AI","220","69.8"
"Yenapoya University","Design and Analysis of Algorithms","206","69.9"
"Yenapoya University Banglore","Intro To NIAT","0","0"
"Yenapoya University Banglore","English","566","12.2"
"Yenapoya University Banglore","Web Application Development","566","16.3"
"Yenapoya University Banglore","Quantitative Aptitude","566","16.8"
"Yenapoya University Banglore","Computer Programming","566","17.3"
"Yenapoya University Banglore","GEN AI","566","18.8"
"Yenapoya University Banglore","Maths for CSE","566","20.2"
