"subject","section","sessionTitle","date","presentCount","totalCount","pct"
"Advanced Communication Skills","CDU Batch-1 - S-008","III semester Project - 1","2026-07-20","41","58","70.7"
"Advanced Communication Skills","CDU Batch-1 - S-008","Real Time Session 3: Activity","2026-07-18","28","58","48.3"
"Advanced Communication Skills","CDU Batch-1 - S-008","Module 1 Quiz","2026-07-13","40","58","69"
"Advanced Communication Skills","CDU Batch-1 - S-008","Real Time Session 3: Activity","2026-07-13","28","58","48.3"
"Advanced Communication Skills","CDU Batch-1 - S-008","Emphasizing Self-Expression","2026-07-09","43","58","74.1"
"Advanced Communication Skills","CDU Batch-1 - S-008","Framing Effective Questions","2026-07-08","40","58","69"
"Advanced Communication Skills","CDU Batch-1 - S-008","Real Time Session 2: Activity","2026-07-06","23","58","39.7"
"Advanced Communication Skills","CDU Batch-1 - S-008","Real Time Session 2: Activity","2026-06-29","40","58","69"
"Advanced Communication Skills","CDU Batch-1 - S-008","Real Time Session 1: Activity","2026-06-24","40","58","69"
"Advanced Communication Skills","CDU Batch-1 - S-008","Real Time Session 1: Activity","2026-06-20","26","58","44.8"
"Advanced Communication Skills","CDU Batch-1 - S-008","Designing Clear Prompts","2026-06-18","30","58","51.7"
"Advanced Communication Skills","CDU Batch-1 - S-008","Mastering the Art of Discussion","2026-06-17","24","58","41.4"
"Advanced Communication Skills","CDU Batch-1 - S-008","Real Time Session 1: Activity","2026-06-15","16","58","27.6"
"Advanced Communication Skills","CDU Batch-1 - S-008","The Language of Connection","2026-06-12","2","58","3.4"
"Advanced Communication Skills","CDU Batch-1 - S-008","Accuracy in sentence structure","2026-06-11","0","58","0"
"Advanced Communication Skills","CDU Batch-1 - S-009","III semester Project - 8","2026-08-20","24","60","40"
"Advanced Communication Skills","CDU Batch-1 - S-009","III semester Project - 7","2026-08-19","21","60","35"
"Advanced Communication Skills","CDU Batch-1 - S-009","III semester Project - 6","2026-08-04","42","60","70"
"Advanced Communication Skills","CDU Batch-1 - S-009","III semester Project - 5","2026-07-31","37","60","61.7"
"Advanced Communication Skills","CDU Batch-1 - S-009","III semester Project - 4","2026-07-28","51","60","85"
"Advanced Communication Skills","CDU Batch-1 - S-009","III semester Project - 3","2026-07-27","41","60","68.3"
"Advanced Communication Skills","CDU Batch-1 - S-009","Real Time Session 3: Activity","2026-07-15","34","60","56.7"
"Advanced Communication Skills","CDU Batch-1 - S-009","Real Time Session 3: Activity","2026-07-14","38","60","63.3"
"Advanced Communication Skills","CDU Batch-1 - S-009","Module 1 Quiz","2026-07-13","44","60","73.3"
"Advanced Communication Skills","CDU Batch-1 - S-009","Real Time Session 3: Activity","2026-07-11","25","60","41.7"
"Advanced Communication Skills","CDU Batch-1 - S-009","Emphasizing Self-Expression","2026-07-09","49","60","81.7"
"Advanced Communication Skills","CDU Batch-1 - S-009","Framing Effective Questions","2026-07-07","44","60","73.3"
"Advanced Communication Skills","CDU Batch-1 - S-009","Real Time Session 2: Activity","2026-07-06","31","60","51.7"
"Advanced Communication Skills","CDU Batch-1 - S-009","Real Time Session 2: Activity","2026-07-03","39","60","65"
"Advanced Communication Skills","CDU Batch-1 - S-009","Real Time Session 2: Activity","2026-06-29","37","60","61.7"
"Advanced Communication Skills","CDU Batch-1 - S-009","Real Time Session 1: Activity","2026-06-24","34","60","56.7"
"Advanced Communication Skills","CDU Batch-1 - S-009","Real Time Session 1: Activity","2026-06-20","40","60","66.7"
"Advanced Communication Skills","CDU Batch-1 - S-009","Designing Clear Prompts","2026-06-18","35","60","58.3"
"Advanced Communication Skills","CDU Batch-1 - S-009","Mastering the Art of Discussion","2026-06-16","26","60","43.3"
"Advanced Communication Skills","CDU Batch-1 - S-009","The Language of Connection","2026-06-13","19","60","31.7"
"Advanced Communication Skills","CDU Batch-1 - S-009","Accuracy in sentence structure","2026-06-11","0","60","0"
"Advanced Communication Skills","CDU Batch-1 - S-010","III semester Project - 9","2026-08-22","0","70","0"
"Advanced Communication Skills","CDU Batch-1 - S-010","III semester Project - 8","2026-08-20","40","70","57.1"
"Advanced Communication Skills","CDU Batch-1 - S-010","III semester Project - 7","2026-08-08","21","70","30"
"Advanced Communication Skills","CDU Batch-1 - S-010","III semester Project - 6","2026-08-04","45","70","64.3"
"Advanced Communication Skills","CDU Batch-1 - S-010","III semester Project - 3","2026-07-27","50","70","71.4"
"Advanced Communication Skills","CDU Batch-1 - S-010","III semester Project - 1","2026-07-20","40","70","57.1"
"Advanced Communication Skills","CDU Batch-1 - S-010","Real Time Session 3: Activity","2026-07-18","47","70","67.1"
"Advanced Communication Skills","CDU Batch-1 - S-010","Real Time Session 3: Activity","2026-07-15","55","70","78.6"
"Advanced Communication Skills","CDU Batch-1 - S-010","Real Time Session 3: Activity","2026-07-14","31","70","44.3"
"Advanced Communication Skills","CDU Batch-1 - S-010","Module 1 Quiz","2026-07-13","45","70","64.3"
"Advanced Communication Skills","CDU Batch-1 - S-010","Emphasizing Self-Expression","2026-07-08","57","70","81.4"
"Advanced Communication Skills","CDU Batch-1 - S-010","Framing Effective Questions","2026-07-07","43","70","61.4"
"Advanced Communication Skills","CDU Batch-1 - S-010","Real Time Session 2: Activity","2026-07-02","40","70","57.1"
"Advanced Communication Skills","CDU Batch-1 - S-010","Real Time Session 2: Activity","2026-06-29","30","70","42.9"
"Advanced Communication Skills","CDU Batch-1 - S-010","Real Time Session 2: Activity","2026-06-27","38","70","54.3"
"Advanced Communication Skills","CDU Batch-1 - S-010","Real Time Session 2: Activity","2026-06-22","42","70","60"
"Advanced Communication Skills","CDU Batch-1 - S-010","Real Time Session 1: Activity","2026-06-20","47","70","67.1"
"Advanced Communication Skills","CDU Batch-1 - S-010","Designing Clear Prompts","2026-06-18","48","70","68.6"
"Advanced Communication Skills","CDU Batch-1 - S-010","Mastering the Art of Discussion","2026-06-16","41","70","58.6"
"Advanced Communication Skills","CDU Batch-1 - S-010","Real Time Session 1: Activity","2026-06-15","34","70","48.6"
"Advanced Communication Skills","CDU Batch-1 - S-010","The Language of Connection","2026-06-12","19","70","27.1"
"Advanced Communication Skills","CDU Batch-1 - S-010","Accuracy in sentence structure","2026-06-11","1","70","1.4"
"Advanced Communication Skills","CDU Batch-1 - S-011","III semester Project - 9","2026-08-22","0","51","0"
"Advanced Communication Skills","CDU Batch-1 - S-011","III semester Project - 8","2026-08-19","22","51","43.1"
"Advanced Communication Skills","CDU Batch-1 - S-011","III semester Project - 7","2026-08-08","25","51","49"
"Advanced Communication Skills","CDU Batch-1 - S-011","III semester Project - 6","2026-08-04","33","51","64.7"
"Advanced Communication Skills","CDU Batch-1 - S-011","III semester Project - 5","2026-08-03","32","51","62.7"
"Advanced Communication Skills","CDU Batch-1 - S-011","III semester Project - 1","2026-07-20","37","51","72.5"
"Advanced Communication Skills","CDU Batch-1 - S-011","Real Time Session 3: Activity","2026-07-16","83","102","81.4"
"Advanced Communication Skills","CDU Batch-1 - S-011","Module 1 Quiz","2026-07-13","42","51","82.4"
"Advanced Communication Skills","CDU Batch-1 - S-011","Real Time Session 3: Activity","2026-07-13","38","51","74.5"
"Advanced Communication Skills","CDU Batch-1 - S-011","Emphasizing Self-Expression","2026-07-09","25","51","49"
"Advanced Communication Skills","CDU Batch-1 - S-011","Framing Effective Questions","2026-07-07","43","51","84.3"
"Advanced Communication Skills","CDU Batch-1 - S-011","Real Time Session 2: Activity","2026-07-02","28","51","54.9"
"Advanced Communication Skills","CDU Batch-1 - S-011","Real Time Session 2: Activity","2026-06-29","35","51","68.6"
"Advanced Communication Skills","CDU Batch-1 - S-011","Real Time Session 1: Activity","2026-06-24","24","51","47.1"
"Advanced Communication Skills","CDU Batch-1 - S-011","Real Time Session 1: Activity","2026-06-23","28","51","54.9"
"Advanced Communication Skills","CDU Batch-1 - S-011","Designing Clear Prompts","2026-06-19","37","51","72.5"
"Advanced Communication Skills","CDU Batch-1 - S-011","Mastering the Art of Discussion","2026-06-17","30","51","58.8"
"Advanced Communication Skills","CDU Batch-1 - S-011","Real Time Session 1: Activity","2026-06-15","28","51","54.9"
"Advanced Communication Skills","CDU Batch-1 - S-011","The Language of Connection","2026-06-13","0","51","0"
"Advanced Communication Skills","CDU Batch-1 - S-011","Accuracy in sentence structure","2026-06-11","0","51","0"
"Advanced Communication Skills","CDU Batch-1 - S-012","III semester Project - 9","2026-08-22","22","60","36.7"
"Advanced Communication Skills","CDU Batch-1 - S-012","III semester Project - 8","2026-08-19","28","60","46.7"
"Advanced Communication Skills","CDU Batch-1 - S-012","III semester Project - 7","2026-08-08","25","60","41.7"
"Advanced Communication Skills","CDU Batch-1 - S-012","III semester Project - 6","2026-08-03","37","60","61.7"
"Advanced Communication Skills","CDU Batch-1 - S-012","III semester Project - 1","2026-07-21","43","60","71.7"
"Advanced Communication Skills","CDU Batch-1 - S-012","Real Time Session 3: Activity","2026-07-15","40","60","66.7"
"Advanced Communication Skills","CDU Batch-1 - S-012","Real Time Session 3: Activity","2026-07-14","32","60","53.3"
"Advanced Communication Skills","CDU Batch-1 - S-012","Module 1 Quiz","2026-07-13","46","60","76.7"
"Advanced Communication Skills","CDU Batch-1 - S-012","Emphasizing Self-Expression","2026-07-11","28","60","46.7"
"Advanced Communication Skills","CDU Batch-1 - S-012","Framing Effective Questions","2026-07-08","47","60","78.3"
"Advanced Communication Skills","CDU Batch-1 - S-012","Framing Effective Questions","2026-07-07","44","60","73.3"
"Advanced Communication Skills","CDU Batch-1 - S-012","Real Time Session 2: Activity","2026-07-06","26","60","43.3"
"Advanced Communication Skills","CDU Batch-1 - S-012","Real Time Session 2: Activity","2026-07-03","0","60","0"
"Advanced Communication Skills","CDU Batch-1 - S-012","Designing Clear Prompts","2026-06-25","35","60","58.3"
"Advanced Communication Skills","CDU Batch-1 - S-012","Real Time Session 2: Activity","2026-06-25","36","60","60"
"Advanced Communication Skills","CDU Batch-1 - S-012","Real Time Session 2: Activity","2026-06-23","18","60","30"
"Advanced Communication Skills","CDU Batch-1 - S-012","Real Time Session 1: Activity","2026-06-22","31","60","51.7"
"Advanced Communication Skills","CDU Batch-1 - S-012","Mastering the Art of Discussion","2026-06-17","30","60","50"
"Advanced Communication Skills","CDU Batch-1 - S-012","Mastering the Art of Discussion","2026-06-16","24","60","40"
"Advanced Communication Skills","CDU Batch-1 - S-012","Real Time Session 1: Activity","2026-06-15","9","60","15"
"Advanced Communication Skills","CDU Batch-1 - S-012","The Language of Connection","2026-06-13","0","60","0"
"Advanced Communication Skills","CDU Batch-1 - S-012","Accuracy in sentence structure","2026-06-12","0","60","0"
"Advanced Communication Skills","CDU Batch-1 - S-013","III semester Project - 6","2026-08-04","33","60","55"
"Advanced Communication Skills","CDU Batch-1 - S-013","III semester Project - 5","2026-08-03","21","60","35"
"Advanced Communication Skills","CDU Batch-1 - S-013","III semester Project - 4","2026-07-30","41","60","68.3"
"Advanced Communication Skills","CDU Batch-1 - S-013","III semester Project - 3","2026-07-28","42","60","70"
"Advanced Communication Skills","CDU Batch-1 - S-013","III semester Project - 2","2026-07-23","43","60","71.7"
"Advanced Communication Skills","CDU Batch-1 - S-013","III semester Project - 1","2026-07-21","44","60","73.3"
"Advanced Communication Skills","CDU Batch-1 - S-013","Real Time Session 3: Activity","2026-07-20","30","60","50"
"Advanced Communication Skills","CDU Batch-1 - S-013","Real Time Session 3: Activity","2026-07-18","25","60","41.7"
