"sessionTitle","date","studentCount","presentCount","totalCount","pct"
"Introduction to Probability & Statistics in ML","2026-06-16","62","30","62","48.4"
"Practice session - Introduction to Statistics & Datasets","2026-06-16","442","150","442","33.9"
"Data Visualization - I","2026-06-15","574","235","574","40.9"
"Introduction to Probability & Statistics in ML","2026-06-15","159","11","159","6.9"
"Practice session - Introduction to Statistics & Datasets","2026-06-15","420","170","490","34.7"
"Introduction to Probability & Statistics in ML","2026-06-13","799","216","799","27"
"Practice session - Introduction to Statistics & Datasets","2026-06-13","357","49","357","13.7"
"Introduction to Probability & Statistics in ML","2026-06-12","843","118","843","14"
"Practice session - Introduction to Statistics & Datasets","2026-06-12","335","105","335","31.3"
"Introduction to Probability & Statistics in ML","2026-06-11","755","61","755","8.1"
"Practice session - Introduction to Statistics & Datasets","2026-06-11","272","34","272","12.5"
